Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1888578,-,-,-,-15.75,-47.94,-3,1089,-3,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Relative Humidity,Wind Direction,Wind Speed
2023,1,1,0,30,19.3,100,107,1.3
2023,1,1,1,30,19,100,102,1.4000000000000001
2023,1,1,2,30,18.7,100,100,1.4000000000000001
2023,1,1,3,30,18.5,100,98,1.4000000000000001
2023,1,1,4,30,18.3,100,96,1.6
2023,1,1,5,30,18.6,100,94,2.1
2023,1,1,6,30,19.700000000000003,96,88,2.8000000000000003
2023,1,1,7,30,21.6,88.62,74,3.4000000000000004
2023,1,1,8,30,23.400000000000002,79.33,59,3.8000000000000003
2023,1,1,9,30,24.8,71.52,49,3.8000000000000003
2023,1,1,10,30,25.900000000000002,67.44,42,3.7
2023,1,1,11,30,26.700000000000003,65.36,37,3.3000000000000003
2023,1,1,12,30,27.1,64.5,35,2.9000000000000004
2023,1,1,13,30,27.200000000000003,64.26,38,2.4000000000000004
2023,1,1,14,30,26.900000000000002,65.02,44,1.9000000000000001
2023,1,1,15,30,26.3,66.82000000000001,54,1.6
2023,1,1,16,30,25.3,71.43,63,1.4000000000000001
2023,1,1,17,30,23.900000000000002,81.07000000000001,69,1.1
2023,1,1,18,30,22.5,91.83,71,1
2023,1,1,19,30,21.6,95.99000000000001,71,1.1
2023,1,1,20,30,21.1,97.22,72,1.3
2023,1,1,21,30,20.6,98.46000000000001,72,1.6
2023,1,1,22,30,20.1,99.62,70,1.7000000000000002
2023,1,1,23,30,19.6,100,67,1.8
2023,1,2,0,30,19.200000000000003,100,62,1.9000000000000001
2023,1,2,1,30,18.900000000000002,100,57,1.9000000000000001
2023,1,2,2,30,18.6,100,53,1.8
2023,1,2,3,30,18.3,100,55,1.4000000000000001
2023,1,2,4,30,18.2,100,58,1.3
2023,1,2,5,30,18.400000000000002,100,59,1.7000000000000002
2023,1,2,6,30,19.200000000000003,97.5,60,2.3000000000000003
2023,1,2,7,30,20.6,90.06,58,2.9000000000000004
