,PM2.5 (µg/m³),PM10 (µg/m³)
2018-01-01 00:00:00-03:00,5.576,7.908
2018-01-01 01:00:00-03:00,5.677,7.926
2018-01-01 02:00:00-03:00,5.777,7.944
2018-01-01 03:00:00-03:00,5.878,7.963
2018-01-01 04:00:00-03:00,6.483,8.836
2018-01-01 05:00:00-03:00,7.087,9.709
2018-01-01 06:00:00-03:00,7.692,10.583
2018-01-01 07:00:00-03:00,8.386,14.676
2018-01-01 08:00:00-03:00,9.080,18.770
2018-01-01 09:00:00-03:00,9.775,22.863
2018-01-01 10:00:00-03:00,8.686,20.540
2018-01-01 11:00:00-03:00,7.598,18.216
2018-01-01 12:00:00-03:00,6.509,15.893
2018-01-01 13:00:00-03:00,6.115,14.744
2018-01-01 14:00:00-03:00,5.721,13.596
2018-01-01 15:00:00-03:00,5.326,12.447
2018-01-01 16:00:00-03:00,5.315,12.173
2018-01-01 17:00:00-03:00,5.304,11.899
2018-01-01 18:00:00-03:00,5.293,11.626
2018-01-01 19:00:00-03:00,5.935,12.184
2018-01-01 20:00:00-03:00,6.576,12.742
2018-01-01 21:00:00-03:00,7.217,13.301
2018-01-01 22:00:00-03:00,7.847,13.868
2018-01-01 23:00:00-03:00,8.476,14.436
2018-01-02 00:00:00-03:00,9.106,15.004
2018-01-02 01:00:00-03:00,9.354,15.183
2018-01-02 02:00:00-03:00,9.602,15.362
2018-01-02 03:00:00-03:00,9.850,15.541
2018-01-02 04:00:00-03:00,9.881,15.491
2018-01-02 05:00:00-03:00,9.912,15.440
2018-01-02 06:00:00-03:00,9.944,15.390
2018-01-02 07:00:00-03:00,8.182,13.037
2018-01-02 08:00:00-03:00,6.420,10.684
2018-01-02 09:00:00-03:00,4.658,8.331
2018-01-02 10:00:00-03:00,4.348,8.166
2018-01-02 11:00:00-03:00,4.038,8.001
2018-01-02 12:00:00-03:00,3.728,7.836
2018-01-02 13:00:00-03:00,5.312,13.303
2018-01-02 14:00:00-03:00,6.896,18.771
2018-01-02 15:00:00-03:00,8.480,24.238
2018-01-02 16:00:00-03:00,8.308,22.115
2018-01-02 17:00:00-03:00,8.137,19.992
2018-01-02 18:00:00-03:00,7.965,17.869
2018-01-02 19:00:00-03:00,8.499,18.180
2018-01-02 20:00:00-03:00,9.033,18.492
2018-01-02 21:00:00-03:00,9.567,18.803
2018-01-02 22:00:00-03:00,9.783,19.062
2018-01-02 23:00:00-03:00,10.000,19.320
2018-01-03 00:00:00-03:00,10.216,19.579
2018-01-03 01:00:00-03:00,9.341,17.708
2018-01-03 02:00:00-03:00,8.467,15.837
2018-01-03 03:00:00-03:00,7.592,13.966
2018-01-03 04:00:00-03:00,7.576,13.921
2018-01-03 05:00:00-03:00,7.560,13.875
2018-01-03 06:00:00-03:00,7.544,13.830
2018-01-03 07:00:00-03:00,7.203,13.479
2018-01-03 08:00:00-03:00,6.861,13.129
2018-01-03 09:00:00-03:00,6.520,12.778
2018-01-03 10:00:00-03:00,5.722,11.233
2018-01-03 11:00:00-03:00,4.924,9.687
2018-01-03 12:00:00-03:00,4.126,8.142
2018-01-03 13:00:00-03:00,3.870,7.629
2018-01-03 14:00:00-03:00,3.614,7.117
2018-01-03 15:00:00-03:00,3.357,6.604
2018-01-03 16:00:00-03:00,3.497,6.636
2018-01-03 17:00:00-03:00,3.637,6.668
2018-01-03 18:00:00-03:00,3.776,6.700
2018-01-03 19:00:00-03:00,4.308,7.206
2018-01-03 20:00:00-03:00,4.841,7.712
2018-01-03 21:00:00-03:00,5.373,8.218
2018-01-03 22:00:00-03:00,5.844,9.038
2018-01-03 23:00:00-03:00,6.315,9.857
2018-01-04 00:00:00-03:00,6.786,10.676
2018-01-04 01:00:00-03:00,7.508,12.106
2018-01-04 02:00:00-03:00,8.230,13.536
2018-01-04 03:00:00-03:00,8.952,14.965
2018-01-04 04:00:00-03:00,9.461,16.415
2018-01-04 05:00:00-03:00,9.971,17.864
2018-01-04 06:00:00-03:00,10.481,19.314
2018-01-04 07:00:00-03:00,9.363,17.660
2018-01-04 08:00:00-03:00,8.246,16.006
2018-01-04 09:00:00-03:00,7.129,14.352
2018-01-04 10:00:00-03:00,5.958,11.978
2018-01-04 11:00:00-03:00,4.786,9.603
2018-01-04 12:00:00-03:00,3.615,7.228
2018-01-04 13:00:00-03:00,3.542,7.316
2018-01-04 14:00:00-03:00,3.469,7.405
2018-01-04 15:00:00-03:00,3.396,7.493
2018-01-04 16:00:00-03:00,3.663,7.803
2018-01-04 17:00:00-03:00,3.930,8.113
2018-01-04 18:00:00-03:00,4.197,8.423
2018-01-04 19:00:00-03:00,4.841,9.267
2018-01-04 20:00:00-03:00,5.486,10.111
2018-01-04 21:00:00-03:00,6.130,10.955
2018-01-04 22:00:00-03:00,6.625,11.517
2018-01-04 23:00:00-03:00,7.121,12.079
2018-01-05 00:00:00-03:00,7.616,12.642
2018-01-05 01:00:00-03:00,7.804,12.559
2018-01-05 02:00:00-03:00,7.991,12.477
2018-01-05 03:00:00-03:00,8.179,12.394
2018-01-05 04:00:00-03:00,8.054,12.286
2018-01-05 05:00:00-03:00,7.929,12.178
2018-01-05 06:00:00-03:00,7.804,12.070
2018-01-05 07:00:00-03:00,6.887,11.020
2018-01-05 08:00:00-03:00,5.969,9.970
2018-01-05 09:00:00-03:00,5.052,8.920
