,PM25_XGB
2023-07-19,3.6649709
2023-07-20,3.0384736
2023-07-21,3.7035942
2023-07-22,2.7275088
2023-07-23,2.539514
2023-07-24,2.2702646
2023-07-25,2.4270208
2023-07-26,2.3618267
2023-07-27,3.2170134
2023-07-28,3.2680087
2023-07-29,2.534006
2023-07-30,3.4403555
2023-07-31,5.241306
2023-08-01,2.8580258
2023-08-02,4.365876
2023-08-03,4.689082
2023-08-04,3.5491014
2023-08-05,4.3466907
2023-08-06,4.2060843
2023-08-07,3.2653098
2023-08-08,3.9505348
2023-08-09,4.8421144
2023-08-10,5.093628
2023-08-11,3.5209854
2023-08-12,3.3151145
2023-08-13,3.6620724
2023-08-14,4.094836
2023-08-15,3.1642148
2023-08-16,3.203173
2023-08-17,3.6759424
2023-08-18,3.6118984
2023-08-19,4.766301
2023-08-20,5.9435725
2023-08-21,8.124808
2023-08-22,10.465331
2023-08-23,5.6092696
2023-08-24,6.4412856
2023-08-25,8.207166
2023-08-26,6.6864114
2023-08-27,20.15053
2023-08-28,15.311271
2023-08-29,23.036291
2023-08-30,15.195448
2023-08-31,10.671358
2023-09-01,6.351557
2023-09-02,5.6457186
2023-09-03,5.826721
2023-09-04,5.522196
2023-09-05,7.4083276
2023-09-06,6.1021013
2023-09-07,5.9491806
2023-09-08,4.3477006
2023-09-09,4.257234
2023-09-10,4.7660484
2023-09-11,4.4883103
2023-09-12,5.457943
2023-09-13,6.3122797
2023-09-14,5.484935
2023-09-15,10.1294365
2023-09-16,13.379845
2023-09-17,6.1185436
2023-09-18,8.581961
2023-09-19,5.919456
2023-09-20,6.4388914
2023-09-21,9.262902
2023-09-22,7.6454344
2023-09-23,6.8643546
2023-09-24,5.855593
2023-09-25,8.579784
2023-09-26,15.984005
2023-09-27,9.932225
2023-09-28,15.471208
2023-09-29,15.939823
2023-09-30,11.566495
2023-10-01,7.034091
2023-10-02,6.911269
2023-10-03,8.102786
2023-10-04,6.940543
2023-10-05,8.686265
2023-10-06,16.83654
2023-10-07,16.2055
2023-10-08,7.933419
2023-10-09,7.922337
2023-10-10,8.244702
2023-10-11,5.746186
2023-10-12,5.737614
2023-10-13,5.9584193
2023-10-14,8.656989
2023-10-15,6.235661
2023-10-16,5.636333
2023-10-17,5.2047534
2023-10-18,5.200855
2023-10-19,5.214915
2023-10-20,6.479885
2023-10-21,7.958411
2023-10-22,7.195309
2023-10-23,5.6349773
2023-10-24,6.1158657
2023-10-25,5.5642357
2023-10-26,6.672121
2023-10-27,6.129298
2023-10-28,8.309382
2023-10-29,9.558755
2023-10-30,5.061825
2023-10-31,5.221338
2023-11-01,5.8029933
2023-11-02,5.9127297
2023-11-03,6.539446
2023-11-04,6.327269
2023-11-05,6.0078163
2023-11-06,7.484335
2023-11-07,5.5715675
2023-11-08,4.666114
2023-11-09,3.9771352
2023-11-10,3.6498332
2023-11-11,3.7866812
2023-11-12,4.149099
2023-11-13,5.2132173
2023-11-14,6.205563
2023-11-15,6.5982084
2023-11-16,7.0646687
2023-11-17,6.533485
2023-11-18,6.589187
2023-11-19,5.0604773
2023-11-20,6.5352964
2023-11-21,6.25932
2023-11-22,4.9922442
2023-11-23,4.059787
2023-11-24,5.131478
2023-11-25,5.1342645
2023-11-26,5.0397015
2023-11-27,4.950351
2023-11-28,5.2561884
2023-11-29,4.469374
2023-11-30,4.559164
2023-12-01,4.1261425
2023-12-02,4.853539
2023-12-03,4.973273
2023-12-04,6.1034575
2023-12-05,5.7161455
2023-12-06,5.2808795
2023-12-07,5.1056128
2023-12-08,3.865264
2023-12-09,3.690963
2023-12-10,4.7975235
2023-12-11,4.9437375
2023-12-12,5.5557084
2023-12-13,5.025736
2023-12-14,4.970379
2023-12-15,5.429223
2023-12-16,4.9923754
2023-12-17,4.9200892
2023-12-18,4.2526145
2023-12-19,3.4478054
2023-12-20,4.9545946
2023-12-21,5.987848
2023-12-22,6.1949086
2023-12-23,4.071463
2023-12-24,4.4987025
2023-12-25,5.2536736
2023-12-26,4.932547
2023-12-27,4.760607
2023-12-28,3.9823356
2023-12-29,5.0386086
2023-12-30,5.0638695
2023-12-31,5.1893973
