,PM2.5 (µg/m³),PM10 (µg/m³)
2018-01-01 00:00:00-03:00,49.000,109.702
2018-01-01 01:00:00-03:00,43.967,96.554
2018-01-01 02:00:00-03:00,38.935,83.405
2018-01-01 03:00:00-03:00,33.902,70.257
2018-01-01 04:00:00-03:00,27.812,57.807
2018-01-01 05:00:00-03:00,21.722,45.357
2018-01-01 06:00:00-03:00,15.632,32.908
2018-01-01 07:00:00-03:00,16.756,39.568
2018-01-01 08:00:00-03:00,17.879,46.228
2018-01-01 09:00:00-03:00,19.003,52.888
2018-01-01 10:00:00-03:00,17.930,50.813
2018-01-01 11:00:00-03:00,16.857,48.737
2018-01-01 12:00:00-03:00,15.784,46.662
2018-01-01 13:00:00-03:00,13.610,40.039
2018-01-01 14:00:00-03:00,11.436,33.417
2018-01-01 15:00:00-03:00,9.262,26.794
2018-01-01 16:00:00-03:00,8.611,24.434
2018-01-01 17:00:00-03:00,7.960,22.074
2018-01-01 18:00:00-03:00,7.309,19.714
2018-01-01 19:00:00-03:00,7.501,19.424
2018-01-01 20:00:00-03:00,7.694,19.134
2018-01-01 21:00:00-03:00,7.887,18.844
2018-01-01 22:00:00-03:00,8.146,18.748
2018-01-01 23:00:00-03:00,8.404,18.651
2018-01-02 00:00:00-03:00,8.663,18.555
2018-01-02 01:00:00-03:00,8.929,19.098
2018-01-02 02:00:00-03:00,9.196,19.641
2018-01-02 03:00:00-03:00,9.462,20.184
2018-01-02 04:00:00-03:00,10.310,24.615
2018-01-02 05:00:00-03:00,11.158,29.047
2018-01-02 06:00:00-03:00,12.006,33.478
2018-01-02 07:00:00-03:00,11.087,29.772
2018-01-02 08:00:00-03:00,10.168,26.066
2018-01-02 09:00:00-03:00,9.249,22.360
2018-01-02 10:00:00-03:00,9.231,23.161
2018-01-02 11:00:00-03:00,9.213,23.962
2018-01-02 12:00:00-03:00,9.195,24.763
2018-01-02 13:00:00-03:00,11.470,31.572
2018-01-02 14:00:00-03:00,13.745,38.380
2018-01-02 15:00:00-03:00,16.020,45.189
2018-01-02 16:00:00-03:00,17.921,50.377
2018-01-02 17:00:00-03:00,19.823,55.565
2018-01-02 18:00:00-03:00,21.725,60.753
2018-01-02 19:00:00-03:00,22.362,61.985
2018-01-02 20:00:00-03:00,22.998,63.217
2018-01-02 21:00:00-03:00,23.635,64.449
2018-01-02 22:00:00-03:00,21.046,56.989
2018-01-02 23:00:00-03:00,18.457,49.528
2018-01-03 00:00:00-03:00,15.869,42.068
2018-01-03 01:00:00-03:00,14.175,37.545
2018-01-03 02:00:00-03:00,12.482,33.021
2018-01-03 03:00:00-03:00,10.789,28.497
2018-01-03 04:00:00-03:00,10.874,29.284
2018-01-03 05:00:00-03:00,10.960,30.071
2018-01-03 06:00:00-03:00,11.045,30.858
2018-01-03 07:00:00-03:00,9.787,27.328
2018-01-03 08:00:00-03:00,8.529,23.798
2018-01-03 09:00:00-03:00,7.272,20.268
2018-01-03 10:00:00-03:00,6.221,17.173
2018-01-03 11:00:00-03:00,5.171,14.077
2018-01-03 12:00:00-03:00,4.120,10.982
2018-01-03 13:00:00-03:00,3.756,10.113
2018-01-03 14:00:00-03:00,3.392,9.243
2018-01-03 15:00:00-03:00,3.028,8.374
2018-01-03 16:00:00-03:00,2.954,7.637
2018-01-03 17:00:00-03:00,2.879,6.900
2018-01-03 18:00:00-03:00,2.805,6.163
2018-01-03 19:00:00-03:00,3.476,7.303
2018-01-03 20:00:00-03:00,4.147,8.443
2018-01-03 21:00:00-03:00,4.818,9.584
2018-01-03 22:00:00-03:00,5.241,10.153
2018-01-03 23:00:00-03:00,5.664,10.722
2018-01-04 00:00:00-03:00,6.088,11.291
2018-01-04 01:00:00-03:00,6.174,11.149
2018-01-04 02:00:00-03:00,6.260,11.007
2018-01-04 03:00:00-03:00,6.345,10.866
2018-01-04 04:00:00-03:00,5.980,10.144
2018-01-04 05:00:00-03:00,5.615,9.422
2018-01-04 06:00:00-03:00,5.249,8.700
2018-01-04 07:00:00-03:00,4.981,8.619
2018-01-04 08:00:00-03:00,4.713,8.538
2018-01-04 09:00:00-03:00,4.444,8.457
2018-01-04 10:00:00-03:00,4.038,7.911
2018-01-04 11:00:00-03:00,3.632,7.364
2018-01-04 12:00:00-03:00,3.226,6.818
2018-01-04 13:00:00-03:00,3.599,7.722
2018-01-04 14:00:00-03:00,3.971,8.627
2018-01-04 15:00:00-03:00,4.344,9.532
2018-01-04 16:00:00-03:00,4.317,9.343
2018-01-04 17:00:00-03:00,4.291,9.155
2018-01-04 18:00:00-03:00,4.264,8.967
2018-01-04 19:00:00-03:00,4.570,9.219
2018-01-04 20:00:00-03:00,4.877,9.472
2018-01-04 21:00:00-03:00,5.183,9.724
2018-01-04 22:00:00-03:00,5.445,9.944
2018-01-04 23:00:00-03:00,5.708,10.164
2018-01-05 00:00:00-03:00,5.970,10.384
2018-01-05 01:00:00-03:00,6.499,10.978
2018-01-05 02:00:00-03:00,7.027,11.572
2018-01-05 03:00:00-03:00,7.556,12.166
2018-01-05 04:00:00-03:00,8.506,13.242
2018-01-05 05:00:00-03:00,9.455,14.318
2018-01-05 06:00:00-03:00,10.405,15.394
2018-01-05 07:00:00-03:00,9.708,21.784
2018-01-05 08:00:00-03:00,9.012,28.174
2018-01-05 09:00:00-03:00,8.315,34.563
2018-01-05 10:00:00-03:00,7.231,29.702
2018-01-05 11:00:00-03:00,6.146,24.841
2018-01-05 12:00:00-03:00,5.062,19.979
2018-01-05 13:00:00-03:00,5.620,21.572
2018-01-05 14:00:00-03:00,6.178,23.165
2018-01-05 15:00:00-03:00,6.736,24.758
2018-01-05 16:00:00-03:00,7.633,27.288
2018-01-05 17:00:00-03:00,8.529,29.819
2018-01-05 18:00:00-03:00,9.426,32.350
2018-01-05 19:00:00-03:00,10.172,33.432
2018-01-05 20:00:00-03:00,10.919,34.514
2018-01-05 21:00:00-03:00,11.665,35.596
2018-01-05 22:00:00-03:00,12.372,36.030
2018-01-05 23:00:00-03:00,13.079,36.464
2018-01-06 00:00:00-03:00,13.786,36.898
2018-01-06 01:00:00-03:00,12.822,32.925
2018-01-06 02:00:00-03:00,11.857,28.953
2018-01-06 03:00:00-03:00,10.892,24.981
2018-01-06 04:00:00-03:00,10.492,25.151
2018-01-06 05:00:00-03:00,10.092,25.321
2018-01-06 06:00:00-03:00,9.692,25.491
2018-01-06 07:00:00-03:00,14.189,43.261
2018-01-06 08:00:00-03:00,18.685,61.030
2018-01-06 09:00:00-03:00,23.182,78.800
2018-01-06 10:00:00-03:00,24.952,83.990
2018-01-06 11:00:00-03:00,26.723,89.180
2018-01-06 12:00:00-03:00,28.493,94.370
2018-01-06 13:00:00-03:00,27.150,89.174
2018-01-06 14:00:00-03:00,25.806,83.978
2018-01-06 15:00:00-03:00,24.462,78.782
2018-01-06 16:00:00-03:00,25.945,82.621
2018-01-06 17:00:00-03:00,27.429,86.459
2018-01-06 18:00:00-03:00,28.912,90.298
2018-01-06 19:00:00-03:00,29.857,92.072
2018-01-06 20:00:00-03:00,30.801,93.846
2018-01-06 21:00:00-03:00,31.746,95.620
2018-01-06 22:00:00-03:00,29.032,86.892
2018-01-06 23:00:00-03:00,26.318,78.164
2018-01-07 00:00:00-03:00,23.604,69.435
2018-01-07 01:00:00-03:00,24.153,68.914
2018-01-07 02:00:00-03:00,24.703,68.392
2018-01-07 03:00:00-03:00,25.252,67.871
2018-01-07 04:00:00-03:00,22.145,56.384
2018-01-07 05:00:00-03:00,19.037,44.898
2018-01-07 06:00:00-03:00,15.930,33.411
2018-01-07 07:00:00-03:00,12.752,25.891
2018-01-07 08:00:00-03:00,9.575,18.370
2018-01-07 09:00:00-03:00,6.397,10.850
2018-01-07 10:00:00-03:00,5.623,9.142
2018-01-07 11:00:00-03:00,4.849,7.434
2018-01-07 12:00:00-03:00,4.075,5.726
2018-01-07 13:00:00-03:00,4.623,6.694
2018-01-07 14:00:00-03:00,5.171,7.662
2018-01-07 15:00:00-03:00,5.719,8.630
2018-01-07 16:00:00-03:00,6.351,10.014
2018-01-07 17:00:00-03:00,6.984,11.398
2018-01-07 18:00:00-03:00,7.616,12.782
2018-01-07 19:00:00-03:00,7.791,14.608
2018-01-07 20:00:00-03:00,7.966,16.434
2018-01-07 21:00:00-03:00,8.142,18.261
2018-01-07 22:00:00-03:00,8.022,16.429
2018-01-07 23:00:00-03:00,7.903,14.597
2018-01-08 00:00:00-03:00,7.783,12.765
2018-01-08 01:00:00-03:00,7.667,12.089
2018-01-08 02:00:00-03:00,7.550,11.412
2018-01-08 03:00:00-03:00,7.433,10.736
2018-01-08 04:00:00-03:00,7.008,10.987
2018-01-08 05:00:00-03:00,6.583,11.239
2018-01-08 06:00:00-03:00,6.158,11.490
2018-01-08 07:00:00-03:00,5.655,10.643
2018-01-08 08:00:00-03:00,5.151,9.796
2018-01-08 09:00:00-03:00,4.648,8.949
2018-01-08 10:00:00-03:00,4.767,8.556
2018-01-08 11:00:00-03:00,4.887,8.163
2018-01-08 12:00:00-03:00,5.007,7.770
2018-01-08 13:00:00-03:00,4.560,7.074
2018-01-08 14:00:00-03:00,4.112,6.378
2018-01-08 15:00:00-03:00,3.665,5.682
2018-01-08 16:00:00-03:00,3.901,6.046
2018-01-08 17:00:00-03:00,4.137,6.411
2018-01-08 18:00:00-03:00,4.373,6.775
2018-01-08 19:00:00-03:00,4.475,6.890
2018-01-08 20:00:00-03:00,4.578,7.005
2018-01-08 21:00:00-03:00,4.681,7.120
2018-01-08 22:00:00-03:00,4.632,7.015
2018-01-08 23:00:00-03:00,4.583,6.911
2018-01-09 00:00:00-03:00,4.534,6.806
2018-01-09 01:00:00-03:00,4.409,6.546
2018-01-09 02:00:00-03:00,4.283,6.286
2018-01-09 03:00:00-03:00,4.157,6.026
2018-01-09 04:00:00-03:00,4.426,6.247
2018-01-09 05:00:00-03:00,4.696,6.468
2018-01-09 06:00:00-03:00,4.965,6.689
2018-01-09 07:00:00-03:00,5.413,7.219
2018-01-09 08:00:00-03:00,5.861,7.749
2018-01-09 09:00:00-03:00,6.309,8.280
2018-01-09 10:00:00-03:00,7.035,10.023
2018-01-09 11:00:00-03:00,7.761,11.767
2018-01-09 12:00:00-03:00,8.488,13.511
2018-01-09 13:00:00-03:00,9.509,15.687
2018-01-09 14:00:00-03:00,10.530,17.862
2018-01-09 15:00:00-03:00,11.551,20.038
2018-01-09 16:00:00-03:00,12.374,21.480
2018-01-09 17:00:00-03:00,13.197,22.922
2018-01-09 18:00:00-03:00,14.020,24.365
2018-01-09 19:00:00-03:00,12.913,22.050
2018-01-09 20:00:00-03:00,11.806,19.736
2018-01-09 21:00:00-03:00,10.699,17.422
2018-01-09 22:00:00-03:00,10.686,16.897
2018-01-09 23:00:00-03:00,10.672,16.372
2018-01-10 00:00:00-03:00,10.659,15.847
2018-01-10 01:00:00-03:00,10.294,14.816
2018-01-10 02:00:00-03:00,9.929,13.785
2018-01-10 03:00:00-03:00,9.564,12.754
2018-01-10 04:00:00-03:00,8.997,11.760
2018-01-10 05:00:00-03:00,8.429,10.766
2018-01-10 06:00:00-03:00,7.862,9.772
2018-01-10 07:00:00-03:00,9.285,11.340
2018-01-10 08:00:00-03:00,10.709,12.908
2018-01-10 09:00:00-03:00,12.132,14.477
2018-01-10 10:00:00-03:00,12.379,15.966
2018-01-10 11:00:00-03:00,12.626,17.455
2018-01-10 12:00:00-03:00,12.873,18.945
2018-01-10 13:00:00-03:00,12.236,18.793
2018-01-10 14:00:00-03:00,11.599,18.642
2018-01-10 15:00:00-03:00,10.962,18.490
2018-01-10 16:00:00-03:00,10.337,17.177
2018-01-10 17:00:00-03:00,9.713,15.863
2018-01-10 18:00:00-03:00,9.088,14.550
2018-01-10 19:00:00-03:00,9.165,14.147
2018-01-10 20:00:00-03:00,9.243,13.745
2018-01-10 21:00:00-03:00,9.321,13.342
2018-01-10 22:00:00-03:00,9.258,12.982
2018-01-10 23:00:00-03:00,9.196,12.622
2018-01-11 00:00:00-03:00,9.133,12.262
2018-01-11 01:00:00-03:00,9.205,12.165
2018-01-11 02:00:00-03:00,9.277,12.068
2018-01-11 03:00:00-03:00,9.349,11.972
2018-01-11 04:00:00-03:00,9.427,11.866
2018-01-11 05:00:00-03:00,9.506,11.760
2018-01-11 06:00:00-03:00,9.584,11.654
2018-01-11 07:00:00-03:00,8.720,10.636
2018-01-11 08:00:00-03:00,7.856,9.617
2018-01-11 09:00:00-03:00,6.992,8.599
2018-01-11 10:00:00-03:00,5.860,7.220
2018-01-11 11:00:00-03:00,4.728,5.841
2018-01-11 12:00:00-03:00,3.596,4.463
2018-01-11 13:00:00-03:00,3.435,5.144
2018-01-11 14:00:00-03:00,3.274,5.825
2018-01-11 15:00:00-03:00,3.114,6.506
2018-01-11 16:00:00-03:00,3.449,6.776
2018-01-11 17:00:00-03:00,3.785,7.046
2018-01-11 18:00:00-03:00,4.121,7.315
2018-01-11 19:00:00-03:00,4.485,7.681
2018-01-11 20:00:00-03:00,4.850,8.046
2018-01-11 21:00:00-03:00,5.215,8.411
2018-01-11 22:00:00-03:00,4.979,7.791
2018-01-11 23:00:00-03:00,4.744,7.170
2018-01-12 00:00:00-03:00,4.508,6.550
2018-01-12 01:00:00-03:00,4.406,6.281
2018-01-12 02:00:00-03:00,4.305,6.013
2018-01-12 03:00:00-03:00,4.203,5.745
2018-01-12 04:00:00-03:00,4.453,5.904
2018-01-12 05:00:00-03:00,4.703,6.063
2018-01-12 06:00:00-03:00,4.954,6.222
2018-01-12 07:00:00-03:00,4.287,5.816
2018-01-12 08:00:00-03:00,3.620,5.409
2018-01-12 09:00:00-03:00,2.953,5.003
2018-01-12 10:00:00-03:00,2.629,4.458
2018-01-12 11:00:00-03:00,2.305,3.913
2018-01-12 12:00:00-03:00,1.981,3.367
2018-01-12 13:00:00-03:00,3.024,8.872
2018-01-12 14:00:00-03:00,4.067,14.376
2018-01-12 15:00:00-03:00,5.109,19.880
2018-01-12 16:00:00-03:00,4.640,16.631
2018-01-12 17:00:00-03:00,4.170,13.382
2018-01-12 18:00:00-03:00,3.700,10.133
2018-01-12 19:00:00-03:00,3.776,9.315
2018-01-12 20:00:00-03:00,3.852,8.496
2018-01-12 21:00:00-03:00,3.927,7.677
2018-01-12 22:00:00-03:00,4.119,7.118
2018-01-12 23:00:00-03:00,4.311,6.559
2018-01-13 00:00:00-03:00,4.503,6.000
2018-01-13 01:00:00-03:00,4.950,6.330
2018-01-13 02:00:00-03:00,5.397,6.660
2018-01-13 03:00:00-03:00,5.844,6.990
2018-01-13 04:00:00-03:00,6.486,7.587
2018-01-13 05:00:00-03:00,7.128,8.183
2018-01-13 06:00:00-03:00,7.770,8.780
2018-01-13 07:00:00-03:00,6.863,7.838
2018-01-13 08:00:00-03:00,5.957,6.895
2018-01-13 09:00:00-03:00,5.051,5.953
2018-01-13 10:00:00-03:00,5.331,7.644
2018-01-13 11:00:00-03:00,5.612,9.334
2018-01-13 12:00:00-03:00,5.892,11.024
2018-01-13 13:00:00-03:00,5.198,10.632
2018-01-13 14:00:00-03:00,4.505,10.241
2018-01-13 15:00:00-03:00,3.811,9.849
2018-01-13 16:00:00-03:00,3.713,9.128
2018-01-13 17:00:00-03:00,3.615,8.408
2018-01-13 18:00:00-03:00,3.517,7.688
2018-01-13 19:00:00-03:00,3.956,8.150
2018-01-13 20:00:00-03:00,4.394,8.612
2018-01-13 21:00:00-03:00,4.832,9.073
2018-01-13 22:00:00-03:00,5.365,9.594
2018-01-13 23:00:00-03:00,5.899,10.115
2018-01-14 00:00:00-03:00,6.432,10.637
2018-01-14 01:00:00-03:00,7.452,11.129
2018-01-14 02:00:00-03:00,8.473,11.622
2018-01-14 03:00:00-03:00,9.494,12.114
2018-01-14 04:00:00-03:00,9.679,11.864
2018-01-14 05:00:00-03:00,9.863,11.613
2018-01-14 06:00:00-03:00,10.048,11.363
2018-01-14 07:00:00-03:00,8.889,10.545
2018-01-14 08:00:00-03:00,7.731,9.727
2018-01-14 09:00:00-03:00,6.573,8.909
2018-01-14 10:00:00-03:00,6.090,9.345
2018-01-14 11:00:00-03:00,5.608,9.780
2018-01-14 12:00:00-03:00,5.126,10.216
2018-01-14 13:00:00-03:00,5.892,11.257
2018-01-14 14:00:00-03:00,6.659,12.298
2018-01-14 15:00:00-03:00,7.426,13.339
2018-01-14 16:00:00-03:00,7.994,14.356
2018-01-14 17:00:00-03:00,8.561,15.373
2018-01-14 18:00:00-03:00,9.129,16.390
2018-01-14 19:00:00-03:00,10.075,18.021
2018-01-14 20:00:00-03:00,11.022,19.653
2018-01-14 21:00:00-03:00,11.968,21.285
2018-01-14 22:00:00-03:00,12.732,22.449
2018-01-14 23:00:00-03:00,13.496,23.613
2018-01-15 00:00:00-03:00,14.259,24.778
2018-01-15 01:00:00-03:00,14.550,24.836
2018-01-15 02:00:00-03:00,14.840,24.895
2018-01-15 03:00:00-03:00,15.131,24.954
2018-01-15 04:00:00-03:00,14.062,23.124
2018-01-15 05:00:00-03:00,12.994,21.295
2018-01-15 06:00:00-03:00,11.926,19.465
2018-01-15 07:00:00-03:00,10.724,17.902
2018-01-15 08:00:00-03:00,9.521,16.339
2018-01-15 09:00:00-03:00,8.319,14.777
2018-01-15 10:00:00-03:00,9.282,19.169
2018-01-15 11:00:00-03:00,10.246,23.561
2018-01-15 12:00:00-03:00,11.209,27.953
2018-01-15 13:00:00-03:00,11.368,27.444
2018-01-15 14:00:00-03:00,11.527,26.935
2018-01-15 15:00:00-03:00,11.686,26.427
2018-01-15 16:00:00-03:00,12.517,27.795
2018-01-15 17:00:00-03:00,13.348,29.164
2018-01-15 18:00:00-03:00,14.179,30.533
2018-01-15 19:00:00-03:00,14.896,30.568
2018-01-15 20:00:00-03:00,15.613,30.602
2018-01-15 21:00:00-03:00,16.331,30.637
2018-01-15 22:00:00-03:00,15.935,29.234
2018-01-15 23:00:00-03:00,15.539,27.831
2018-01-16 00:00:00-03:00,15.143,26.428
2018-01-16 01:00:00-03:00,13.923,23.911
2018-01-16 02:00:00-03:00,12.703,21.395
2018-01-16 03:00:00-03:00,11.483,18.878
2018-01-16 04:00:00-03:00,10.899,17.586
2018-01-16 05:00:00-03:00,10.314,16.293
2018-01-16 06:00:00-03:00,9.730,15.001
2018-01-16 07:00:00-03:00,8.874,14.067
2018-01-16 08:00:00-03:00,8.019,13.133
2018-01-16 09:00:00-03:00,7.163,12.199
2018-01-16 10:00:00-03:00,6.250,11.183
2018-01-16 11:00:00-03:00,5.337,10.168
2018-01-16 12:00:00-03:00,4.423,9.152
2018-01-16 13:00:00-03:00,4.552,8.749
2018-01-16 14:00:00-03:00,4.681,8.346
2018-01-16 15:00:00-03:00,4.810,7.943
2018-01-16 16:00:00-03:00,5.052,8.657
2018-01-16 17:00:00-03:00,5.293,9.371
2018-01-16 18:00:00-03:00,5.535,10.085
2018-01-16 19:00:00-03:00,5.903,10.519
2018-01-16 20:00:00-03:00,6.270,10.953
2018-01-16 21:00:00-03:00,6.638,11.387
2018-01-16 22:00:00-03:00,6.955,11.637
2018-01-16 23:00:00-03:00,7.271,11.887
2018-01-17 00:00:00-03:00,7.588,12.136
2018-01-17 01:00:00-03:00,7.446,11.691
2018-01-17 02:00:00-03:00,7.304,11.245
2018-01-17 03:00:00-03:00,7.162,10.799
2018-01-17 04:00:00-03:00,6.968,10.504
2018-01-17 05:00:00-03:00,6.775,10.208
2018-01-17 06:00:00-03:00,6.581,9.912
2018-01-17 07:00:00-03:00,6.050,10.838
2018-01-17 08:00:00-03:00,5.519,11.764
2018-01-17 09:00:00-03:00,4.987,12.690
2018-01-17 10:00:00-03:00,4.453,11.293
2018-01-17 11:00:00-03:00,3.920,9.897
2018-01-17 12:00:00-03:00,3.386,8.501
2018-01-17 13:00:00-03:00,4.075,11.500
2018-01-17 14:00:00-03:00,4.763,14.499
2018-01-17 15:00:00-03:00,5.452,17.498
2018-01-17 16:00:00-03:00,5.514,16.729
2018-01-17 17:00:00-03:00,5.576,15.960
2018-01-17 18:00:00-03:00,5.638,15.191
2018-01-17 19:00:00-03:00,6.250,16.042
2018-01-17 20:00:00-03:00,6.863,16.893
2018-01-17 21:00:00-03:00,7.475,17.744
2018-01-17 22:00:00-03:00,8.052,18.233
2018-01-17 23:00:00-03:00,8.629,18.723
2018-01-18 00:00:00-03:00,9.206,19.213
2018-01-18 01:00:00-03:00,9.674,19.371
2018-01-18 02:00:00-03:00,10.141,19.529
2018-01-18 03:00:00-03:00,10.609,19.687
2018-01-18 04:00:00-03:00,11.069,19.874
2018-01-18 05:00:00-03:00,11.529,20.060
2018-01-18 06:00:00-03:00,11.989,20.246
2018-01-18 07:00:00-03:00,10.614,19.172
2018-01-18 08:00:00-03:00,9.240,18.099
2018-01-18 09:00:00-03:00,7.866,17.025
2018-01-18 10:00:00-03:00,6.692,14.629
2018-01-18 11:00:00-03:00,5.519,12.233
2018-01-18 12:00:00-03:00,4.345,9.838
2018-01-18 13:00:00-03:00,5.048,13.113
2018-01-18 14:00:00-03:00,5.750,16.387
2018-01-18 15:00:00-03:00,6.453,19.662
2018-01-18 16:00:00-03:00,6.336,17.946
2018-01-18 17:00:00-03:00,6.219,16.231
2018-01-18 18:00:00-03:00,6.103,14.515
2018-01-18 19:00:00-03:00,6.665,14.866
2018-01-18 20:00:00-03:00,7.228,15.217
2018-01-18 21:00:00-03:00,7.791,15.568
2018-01-18 22:00:00-03:00,8.618,16.805
2018-01-18 23:00:00-03:00,9.445,18.042
2018-01-19 00:00:00-03:00,10.271,19.279
2018-01-19 01:00:00-03:00,10.757,20.333
2018-01-19 02:00:00-03:00,11.242,21.386
2018-01-19 03:00:00-03:00,11.727,22.440
2018-01-19 04:00:00-03:00,11.577,21.623
2018-01-19 05:00:00-03:00,11.426,20.806
2018-01-19 06:00:00-03:00,11.276,19.990
2018-01-19 07:00:00-03:00,10.079,27.677
2018-01-19 08:00:00-03:00,8.883,35.364
2018-01-19 09:00:00-03:00,7.686,43.052
2018-01-19 10:00:00-03:00,7.355,37.990
2018-01-19 11:00:00-03:00,7.024,32.928
2018-01-19 12:00:00-03:00,6.693,27.866
2018-01-19 13:00:00-03:00,6.605,31.997
2018-01-19 14:00:00-03:00,6.516,36.129
2018-01-19 15:00:00-03:00,6.428,40.260
2018-01-19 16:00:00-03:00,6.216,36.840
2018-01-19 17:00:00-03:00,6.003,33.420
2018-01-19 18:00:00-03:00,5.791,30.000
2018-01-19 19:00:00-03:00,6.125,29.857
2018-01-19 20:00:00-03:00,6.460,29.713
2018-01-19 21:00:00-03:00,6.794,29.570
2018-01-19 22:00:00-03:00,7.297,29.914
2018-01-19 23:00:00-03:00,7.800,30.257
2018-01-20 00:00:00-03:00,8.303,30.601
2018-01-20 01:00:00-03:00,8.325,29.558
2018-01-20 02:00:00-03:00,8.346,28.516
2018-01-20 03:00:00-03:00,8.368,27.473
2018-01-20 04:00:00-03:00,8.316,26.322
2018-01-20 05:00:00-03:00,8.265,25.171
2018-01-20 06:00:00-03:00,8.214,24.020
2018-01-20 07:00:00-03:00,8.205,24.633
2018-01-20 08:00:00-03:00,8.196,25.246
2018-01-20 09:00:00-03:00,8.187,25.859
2018-01-20 10:00:00-03:00,7.725,21.061
2018-01-20 11:00:00-03:00,7.264,16.263
2018-01-20 12:00:00-03:00,6.802,11.464
2018-01-20 13:00:00-03:00,6.775,11.108
2018-01-20 14:00:00-03:00,6.748,10.752
2018-01-20 15:00:00-03:00,6.721,10.395
2018-01-20 16:00:00-03:00,6.510,10.175
2018-01-20 17:00:00-03:00,6.299,9.955
2018-01-20 18:00:00-03:00,6.089,9.734
