,PM25_XGB
2023-07-19,7.067373
2023-07-20,6.6102424
2023-07-21,5.904001
2023-07-22,5.623793
2023-07-23,5.2590647
2023-07-24,5.2749176
2023-07-25,5.438833
2023-07-26,5.5699654
2023-07-27,5.174698
2023-07-28,5.338661
2023-07-29,10.993453
2023-07-30,5.2620873
2023-07-31,5.5366607
2023-08-01,5.845348
2023-08-02,5.631005
2023-08-03,7.4918957
2023-08-04,7.249135
2023-08-05,6.956127
2023-08-06,7.3380136
2023-08-07,7.5360646
2023-08-08,6.8589067
2023-08-09,7.073954
2023-08-10,6.41435
2023-08-11,8.321033
2023-08-12,7.207091
2023-08-13,9.622107
2023-08-14,8.244407
2023-08-15,10.775463
2023-08-16,7.6842594
2023-08-17,8.739592
2023-08-18,7.579293
2023-08-19,8.83773
2023-08-20,14.891819
2023-08-21,11.244711
2023-08-22,13.863195
2023-08-23,9.409574
2023-08-24,12.285753
2023-08-25,16.225555
2023-08-26,17.50993
2023-08-27,23.895912
2023-08-28,15.335688
2023-08-29,9.706533
2023-08-30,8.851184
2023-08-31,24.508108
2023-09-01,25.855566
2023-09-02,23.88532
2023-09-03,9.396756
2023-09-04,7.72653
2023-09-05,8.784271
2023-09-06,24.828503
2023-09-07,9.964529
2023-09-08,5.663015
2023-09-09,7.6349726
2023-09-10,13.34289
2023-09-11,8.78509
2023-09-12,7.555618
2023-09-13,8.093548
2023-09-14,23.2718
2023-09-15,17.079128
2023-09-16,8.094718
2023-09-17,8.299939
2023-09-18,7.9935346
2023-09-19,8.38299
2023-09-20,9.5671625
2023-09-21,9.843708
2023-09-22,9.31853
2023-09-23,9.546837
2023-09-24,13.157346
2023-09-25,11.067051
2023-09-26,9.270079
2023-09-27,18.737066
2023-09-28,17.658152
2023-09-29,12.761771
2023-09-30,12.972737
2023-10-01,14.278966
2023-10-02,14.897057
2023-10-03,11.297276
2023-10-04,7.8852434
2023-10-05,17.236576
2023-10-06,22.285774
2023-10-07,15.908917
2023-10-08,19.864979
2023-10-09,15.244128
2023-10-10,10.869526
2023-10-11,7.498036
2023-10-12,11.065932
2023-10-13,18.753466
2023-10-14,15.638251
2023-10-15,14.868835
2023-10-16,10.457165
2023-10-17,7.516771
2023-10-18,10.44883
2023-10-19,8.825284
2023-10-20,9.757168
2023-10-21,7.2238717
2023-10-22,7.529991
2023-10-23,6.4194236
2023-10-24,7.950245
2023-10-25,12.245314
2023-10-26,17.440014
2023-10-27,13.853514
2023-10-28,14.467347
2023-10-29,8.596508
2023-10-30,16.0818
2023-10-31,16.104174
2023-11-01,10.441709
2023-11-02,23.283998
2023-11-03,5.5416317
2023-11-04,10.282432
2023-11-05,6.189682
2023-11-06,7.103383
2023-11-07,6.3013144
2023-11-08,5.443518
2023-11-09,6.106424
2023-11-10,6.172667
2023-11-11,6.075111
2023-11-12,5.9767427
2023-11-13,6.8476286
2023-11-14,7.816244
2023-11-15,7.13978
2023-11-16,6.789707
2023-11-17,14.109964
2023-11-18,10.999796
2023-11-19,16.3924
2023-11-20,14.822034
2023-11-21,17.743692
2023-11-22,9.122041
2023-11-23,7.6698003
2023-11-24,6.020107
2023-11-25,8.280228
2023-11-26,6.169081
2023-11-27,5.706013
2023-11-28,5.560177
2023-11-29,6.1256585
2023-11-30,4.825381
2023-12-01,6.2461534
2023-12-02,6.3439493
2023-12-03,6.2922144
2023-12-04,6.9678392
2023-12-05,6.6712246
2023-12-06,10.577936
2023-12-07,7.7616305
2023-12-08,5.1841354
2023-12-09,5.558334
2023-12-10,6.5389175
2023-12-11,5.85044
2023-12-12,5.2826777
2023-12-13,4.516124
2023-12-14,5.7063413
2023-12-15,5.6459427
2023-12-16,7.3655176
2023-12-17,6.497598
2023-12-18,6.687094
2023-12-19,6.5088296
2023-12-20,6.439577
2023-12-21,5.3107853
2023-12-22,6.763505
2023-12-23,6.6804132
2023-12-24,6.958766
2023-12-25,5.6098585
2023-12-26,5.684327
2023-12-27,7.697654
2023-12-28,5.3067813
2023-12-29,6.0487957
2023-12-30,6.4486613
2023-12-31,11.231301
