Tipo de Monitoramento:;CETESB
Tipo de Rede:;Automática
Tipo de Dado:;Primários
Código da estação:;275
Nome da estação:;Campinas-V.União

Data;Hora;Média Horária;Média Horária;Média Horária
;;MP2.5(Partículas Inaláveis Finas) - µg/m3;TEMP(Temperatura do Ar) - °C;UR(Umidade Relativa do Ar) - %
01/01/2022;01:00;39;19,4;94
01/01/2022;02:00;37;19,1;94
01/01/2022;03:00;33;18,9;95
01/01/2022;04:00;25;19,0;95
01/01/2022;05:00;33;19,0;95
01/01/2022;06:00;23;18,9;95
01/01/2022;07:00;16;19,7;95
01/01/2022;08:00;15;20,7;95
01/01/2022;09:00;10;23,4;92
01/01/2022;10:00;15;24,5;76
01/01/2022;11:00;4;26,4;65
01/01/2022;12:00;5;27,5;62
01/01/2022;13:00;2;28,2;60
01/01/2022;14:00;12;26,5;67
01/01/2022;15:00;13;24,7;75
01/01/2022;16:00;2;26,2;74
01/01/2022;17:00;36;24,3;75
01/01/2022;18:00;1;22,9;79
01/01/2022;19:00;0;23,0;76
01/01/2022;20:00;4;22,5;80
01/01/2022;21:00;10;22,1;84
01/01/2022;22:00;10;22,1;86
01/01/2022;23:00;5;22,0;87
01/01/2022;24:00;8;21,5;88
02/01/2022;01:00;3;21,4;89
02/01/2022;02:00;5;21,1;90
02/01/2022;03:00;5;20,9;91
02/01/2022;04:00;5;20,8;92
02/01/2022;05:00;6;20,7;92
02/01/2022;06:00;8;20,8;92
02/01/2022;07:00;1;21,2;93
02/01/2022;08:00;9;23,3;94
02/01/2022;09:00;18;26,2;76
02/01/2022;10:00;10;28,0;60
02/01/2022;11:00;8;28,4;57
02/01/2022;12:00;5;28,9;56
02/01/2022;13:00;3;29,3;54
02/01/2022;14:00;6;29,4;51
02/01/2022;15:00;2;30,8;44
02/01/2022;16:00;7;30,6;47
02/01/2022;17:00;10;30,1;47
02/01/2022;18:00;3;30,2;45
02/01/2022;19:00;5;28,5;49
02/01/2022;20:00;0;27,1;58
02/01/2022;21:00;3;26,0;65
02/01/2022;22:00;16;25,3;68
02/01/2022;23:00;2;24,9;72
02/01/2022;24:00;1;24,8;72
03/01/2022;01:00;8;24,4;73
03/01/2022;02:00;4;23,8;76
03/01/2022;03:00;8;23,3;79
03/01/2022;04:00;8;23,1;80
03/01/2022;05:00;2;23,2;80
03/01/2022;06:00;3;23,0;81
03/01/2022;07:00;4;23,2;82
03/01/2022;08:00;9;24,3;80
03/01/2022;09:00;13;27,6;63
03/01/2022;10:00;37;28,6;58
03/01/2022;11:00;8;29,6;56
03/01/2022;12:00;10;30,4;53
03/01/2022;13:00;5;31,9;47
03/01/2022;14:00;8;30,3;52
03/01/2022;15:00;8;28,0;61
03/01/2022;16:00;0;26,7;69
03/01/2022;17:00;4;25,4;78
03/01/2022;18:00;1;24,6;85
03/01/2022;19:00;15;24,4;85
03/01/2022;20:00;7;23,9;86
03/01/2022;21:00;9;23,4;85
03/01/2022;22:00;13;23,3;84
03/01/2022;23:00;16;23,5;83
03/01/2022;24:00;18;23,4;83
04/01/2022;01:00;17;23,2;84
04/01/2022;02:00;16;23,2;84
04/01/2022;03:00;7;22,7;85
04/01/2022;04:00;4;23,2;84
04/01/2022;05:00;5;23,3;80
04/01/2022;06:00;1;23,2;80
04/01/2022;07:00;3;24,0;79
04/01/2022;08:00;11;26,1;68
04/01/2022;09:00;6;26,1;67
04/01/2022;10:00;5;27,9;60
04/01/2022;11:00;5;26,8;67
04/01/2022;12:00;5;26,6;75
04/01/2022;13:00;8;28,1;61
04/01/2022;14:00;;22,5;86
04/01/2022;15:00;;23,3;81
04/01/2022;16:00;;24,9;73
04/01/2022;17:00;;25,4;68
04/01/2022;18:00;;25,8;68
04/01/2022;19:00;;24,3;77
04/01/2022;20:00;;23,1;85
04/01/2022;21:00;;22,4;88
04/01/2022;22:00;;22,1;89
04/01/2022;23:00;;22,1;89
04/01/2022;24:00;;22,3;86
05/01/2022;01:00;;22,3;85
05/01/2022;02:00;;22,2;86
05/01/2022;03:00;;22,0;87
05/01/2022;04:00;;21,8;88
05/01/2022;05:00;;21,8;89
05/01/2022;06:00;;21,9;89
05/01/2022;07:00;;22,0;90
05/01/2022;08:00;;22,5;89
05/01/2022;09:00;;23,1;87
05/01/2022;10:00;;24,1;82
05/01/2022;11:00;;25,5;76
05/01/2022;12:00;;24,9;80
05/01/2022;13:00;;25,6;86
05/01/2022;14:00;;28,0;69
05/01/2022;15:00;;28,4;65
05/01/2022;16:00;;29,9;57
05/01/2022;17:00;;29,4;57
05/01/2022;18:00;;28,5;60
05/01/2022;19:00;;26,9;66
05/01/2022;20:00;;25,9;71
05/01/2022;21:00;;25,4;74
05/01/2022;22:00;;25,0;78
05/01/2022;23:00;;24,8;81
05/01/2022;24:00;7;24,5;82
06/01/2022;01:00;;24,2;83
06/01/2022;02:00;;23,9;86
06/01/2022;03:00;;23,3;89
06/01/2022;04:00;;22,9;90
06/01/2022;05:00;;22,8;91
06/01/2022;06:00;;22,6;91
06/01/2022;07:00;;22,5;92
06/01/2022;08:00;;23,3;91
06/01/2022;09:00;;24,0;87
06/01/2022;10:00;;24,7;83
06/01/2022;11:00;;25,9;76
06/01/2022;12:00;;27,7;65
06/01/2022;13:00;;29,4;58
06/01/2022;14:00;;29,4;57
06/01/2022;15:00;;29,7;56
