Tipo de Monitoramento:;CETESB
Tipo de Rede:;Automática
Tipo de Dado:;Primários
Código da estação:;275
Nome da estação:;Campinas-V.União

Data;Hora;Média Horária;Média Horária
;;DV(Direção do Vento) - °;VV(Velocidade do Vento) - m/s
01/01/2019;01:00;137;4,6
01/01/2019;02:00;128;3,5
01/01/2019;03:00;174;1,5
01/01/2019;04:00;155;1,8
01/01/2019;05:00;163;1,8
01/01/2019;06:00;138;1,7
01/01/2019;07:00;140;2,1
01/01/2019;08:00;165;1,1
01/01/2019;09:00;157;1,0
01/01/2019;10:00;25;2,3
01/01/2019;11:00;22;2,8
01/01/2019;12:00;357;2,4
01/01/2019;13:00;329;2,3
01/01/2019;14:00;311;2,5
01/01/2019;15:00;281;2,7
01/01/2019;16:00;40;3,5
01/01/2019;17:00;234;2,1
01/01/2019;18:00;154;1,5
01/01/2019;19:00;132;1,9
01/01/2019;20:00;119;2,6
01/01/2019;21:00;129;2,6
01/01/2019;22:00;137;1,7
01/01/2019;23:00;132;1,9
01/01/2019;24:00;290;1,1
02/01/2019;01:00;201;1,0
02/01/2019;02:00;146;1,7
02/01/2019;03:00;135;1,3
02/01/2019;04:00;166;1,0
02/01/2019;05:00;301;1,0
02/01/2019;06:00;38;0,6
02/01/2019;07:00;161;0,9
02/01/2019;08:00;36;1,0
02/01/2019;09:00;159;1,0
02/01/2019;10:00;360;2,1
02/01/2019;11:00;23;2,2
02/01/2019;12:00;328;2,1
02/01/2019;13:00;307;2,5
02/01/2019;14:00;263;2,0
02/01/2019;15:00;;
02/01/2019;16:00;13;3,9
02/01/2019;17:00;125;1,2
02/01/2019;18:00;138;0,9
02/01/2019;19:00;123;0,8
02/01/2019;20:00;192;0,9
02/01/2019;21:00;129;1,0
02/01/2019;22:00;25;1,6
02/01/2019;23:00;38;1,7
02/01/2019;24:00;33;1,1
03/01/2019;01:00;18;1,8
03/01/2019;02:00;339;1,0
03/01/2019;03:00;30;1,0
03/01/2019;04:00;46;1,0
03/01/2019;05:00;39;1,8
03/01/2019;06:00;40;2,2
03/01/2019;07:00;42;3,3
03/01/2019;08:00;36;3,2
03/01/2019;09:00;28;2,9
03/01/2019;10:00;26;2,9
03/01/2019;11:00;14;3,1
03/01/2019;12:00;354;2,5
03/01/2019;13:00;329;2,7
03/01/2019;14:00;311;3,2
03/01/2019;15:00;11;2,8
03/01/2019;16:00;14;2,3
03/01/2019;17:00;74;2,0
03/01/2019;18:00;44;2,7
03/01/2019;19:00;286;5,3
03/01/2019;20:00;6;1,8
03/01/2019;21:00;313;3,0
03/01/2019;22:00;12;1,9
03/01/2019;23:00;28;2,7
03/01/2019;24:00;43;3,2
04/01/2019;01:00;37;3,1
04/01/2019;02:00;44;2,5
04/01/2019;03:00;28;1,4
04/01/2019;04:00;30;1,9
04/01/2019;05:00;34;1,7
04/01/2019;06:00;39;1,5
04/01/2019;07:00;36;1,6
04/01/2019;08:00;44;1,7
04/01/2019;09:00;42;2,7
04/01/2019;10:00;43;2,2
04/01/2019;11:00;33;2,5
04/01/2019;12:00;29;2,4
04/01/2019;13:00;28;2,4
04/01/2019;14:00;338;1,9
04/01/2019;15:00;292;2,2
04/01/2019;16:00;300;1,6
04/01/2019;17:00;353;3,4
04/01/2019;18:00;18;4,4
04/01/2019;19:00;11;2,6
04/01/2019;20:00;74;2,8
04/01/2019;21:00;59;2,7
04/01/2019;22:00;32;2,5
04/01/2019;23:00;28;3,5
04/01/2019;24:00;14;2,8
05/01/2019;01:00;28;1,8
05/01/2019;02:00;29;2,4
05/01/2019;03:00;22;2,7
05/01/2019;04:00;18;2,4
05/01/2019;05:00;56;1,6
05/01/2019;06:00;35;1,6
05/01/2019;07:00;37;1,7
05/01/2019;08:00;35;2,2
05/01/2019;09:00;27;2,2
05/01/2019;10:00;14;2,4
05/01/2019;11:00;14;1,5
05/01/2019;12:00;5;1,8
05/01/2019;13:00;0;1,9
05/01/2019;14:00;324;1,5
05/01/2019;15:00;294;1,7
05/01/2019;16:00;309;1,8
05/01/2019;17:00;294;1,6
05/01/2019;18:00;315;1,9
05/01/2019;19:00;208;1,2
05/01/2019;20:00;130;1,3
05/01/2019;21:00;73;1,5
05/01/2019;22:00;56;1,6
05/01/2019;23:00;33;0,9
05/01/2019;24:00;160;0,7
06/01/2019;01:00;179;0,9
06/01/2019;02:00;53;1,1
06/01/2019;03:00;777;0,0
06/01/2019;04:00;181;0,6
06/01/2019;05:00;777;0,0
06/01/2019;06:00;78;0,9
06/01/2019;07:00;158;0,7
06/01/2019;08:00;153;0,8
06/01/2019;09:00;18;1,6
06/01/2019;10:00;19;1,9
06/01/2019;11:00;18;2,6
06/01/2019;12:00;340;1,9
06/01/2019;13:00;319;2,1
06/01/2019;14:00;20;1,8
06/01/2019;15:00;55;3,0
06/01/2019;16:00;299;2,0
06/01/2019;17:00;273;2,7
06/01/2019;18:00;328;3,0
06/01/2019;19:00;281;1,9
06/01/2019;20:00;273;1,4
06/01/2019;21:00;130;1,3
06/01/2019;22:00;153;1,1
06/01/2019;23:00;152;1,4
06/01/2019;24:00;153;1,2
07/01/2019;01:00;136;1,3
07/01/2019;02:00;170;1,1
07/01/2019;03:00;129;1,3
07/01/2019;04:00;154;0,9
07/01/2019;05:00;139;1,0
07/01/2019;06:00;139;1,0
07/01/2019;07:00;113;0,8
07/01/2019;08:00;777;0,0
07/01/2019;09:00;268;0,7
07/01/2019;10:00;33;2,6
07/01/2019;11:00;32;4,1
07/01/2019;12:00;28;4,7
07/01/2019;13:00;14;4,4
07/01/2019;14:00;14;4,7
07/01/2019;15:00;7;3,9
07/01/2019;16:00;14;3,9
07/01/2019;17:00;336;3,7
07/01/2019;18:00;349;2,7
07/01/2019;19:00;352;2,3
07/01/2019;20:00;351;1,6
07/01/2019;21:00;347;1,0
07/01/2019;22:00;49;2,6
07/01/2019;23:00;46;1,4
07/01/2019;24:00;341;1,0
08/01/2019;01:00;106;0,7
08/01/2019;02:00;34;2,3
08/01/2019;03:00;81;2,3
08/01/2019;04:00;202;1,0
08/01/2019;05:00;177;0,8
08/01/2019;06:00;325;1,0
08/01/2019;07:00;20;1,2
08/01/2019;08:00;92;1,1
08/01/2019;09:00;223;1,0
08/01/2019;10:00;39;1,9
08/01/2019;11:00;36;3,0
08/01/2019;12:00;9;1,9
08/01/2019;13:00;332;1,9
08/01/2019;14:00;294;2,0
08/01/2019;15:00;273;2,2
08/01/2019;16:00;257;2,7
08/01/2019;17:00;263;2,3
08/01/2019;18:00;244;3,2
08/01/2019;19:00;154;2,7
08/01/2019;20:00;135;3,7
08/01/2019;21:00;125;3,8
08/01/2019;22:00;130;2,5
08/01/2019;23:00;328;1,6
08/01/2019;24:00;139;2,6
09/01/2019;01:00;150;1,6
09/01/2019;02:00;179;1,3
09/01/2019;03:00;164;1,2
09/01/2019;04:00;158;1,4
09/01/2019;05:00;125;2,0
09/01/2019;06:00;118;3,0
09/01/2019;07:00;128;1,7
09/01/2019;08:00;104;1,0
09/01/2019;09:00;107;2,1
09/01/2019;10:00;127;3,1
09/01/2019;11:00;113;2,5
09/01/2019;12:00;72;2,7
09/01/2019;13:00;15;2,4
09/01/2019;14:00;21;2,5
09/01/2019;15:00;332;2,4
09/01/2019;16:00;342;2,2
09/01/2019;17:00;342;2,0
09/01/2019;18:00;293;1,7
09/01/2019;19:00;271;1,8
09/01/2019;20:00;276;1,9
09/01/2019;21:00;274;1,4
09/01/2019;22:00;322;2,5
09/01/2019;23:00;119;3,0
09/01/2019;24:00;124;2,5
10/01/2019;01:00;131;3,2
10/01/2019;02:00;134;2,5
10/01/2019;03:00;307;2,5
10/01/2019;04:00;316;1,6
10/01/2019;05:00;138;1,0
10/01/2019;06:00;190;0,8
10/01/2019;07:00;53;1,4
10/01/2019;08:00;36;2,0
10/01/2019;09:00;34;2,4
10/01/2019;10:00;27;2,7
10/01/2019;11:00;21;3,3
10/01/2019;12:00;14;3,3
10/01/2019;13:00;14;3,0
10/01/2019;14:00;20;3,4
10/01/2019;15:00;20;3,2
10/01/2019;16:00;319;2,3
10/01/2019;17:00;331;2,2
10/01/2019;18:00;318;2,2
10/01/2019;19:00;315;1,7
10/01/2019;20:00;316;1,3
10/01/2019;21:00;253;1,0
10/01/2019;22:00;266;1,0
10/01/2019;23:00;141;1,2
10/01/2019;24:00;85;2,0
11/01/2019;01:00;302;1,9
11/01/2019;02:00;203;4,9
11/01/2019;03:00;170;3,0
11/01/2019;04:00;142;2,4
11/01/2019;05:00;227;1,3
11/01/2019;06:00;125;2,3
11/01/2019;07:00;112;1,7
11/01/2019;08:00;91;1,4
11/01/2019;09:00;262;1,1
11/01/2019;10:00;195;1,3
11/01/2019;11:00;269;1,7
11/01/2019;12:00;319;1,7
11/01/2019;13:00;349;1,9
11/01/2019;14:00;301;2,5
11/01/2019;15:00;281;2,4
11/01/2019;16:00;273;3,3
11/01/2019;17:00;268;3,0
11/01/2019;18:00;263;1,6
11/01/2019;19:00;196;3,8
11/01/2019;20:00;138;3,0
11/01/2019;21:00;143;3,0
11/01/2019;22:00;134;3,8
11/01/2019;23:00;133;2,9
11/01/2019;24:00;147;2,5
12/01/2019;01:00;146;3,1
12/01/2019;02:00;129;1,8
12/01/2019;03:00;214;1,4
12/01/2019;04:00;188;2,0
12/01/2019;05:00;186;1,6
12/01/2019;06:00;150;1,4
12/01/2019;07:00;198;1,6
12/01/2019;08:00;124;2,3
12/01/2019;09:00;131;3,1
12/01/2019;10:00;134;3,0
12/01/2019;11:00;160;2,3
12/01/2019;12:00;176;2,5
12/01/2019;13:00;156;2,2
12/01/2019;14:00;209;2,0
12/01/2019;15:00;226;2,6
12/01/2019;16:00;241;2,6
12/01/2019;17:00;105;4,1
12/01/2019;18:00;112;3,6
12/01/2019;19:00;116;5,1
12/01/2019;20:00;129;4,1
12/01/2019;21:00;21;3,5
12/01/2019;22:00;252;1,4
12/01/2019;23:00;129;1,4
12/01/2019;24:00;178;2,4
13/01/2019;01:00;270;2,2
13/01/2019;02:00;279;2,2
13/01/2019;03:00;289;0,9
13/01/2019;04:00;248;0,9
13/01/2019;05:00;239;1,0
13/01/2019;06:00;130;1,1
13/01/2019;07:00;135;1,4
13/01/2019;08:00;215;0,8
13/01/2019;09:00;173;1,5
13/01/2019;10:00;91;2,2
13/01/2019;11:00;53;3,3
13/01/2019;12:00;21;2,8
13/01/2019;13:00;21;3,0
13/01/2019;14:00;315;2,6
