clip	duration[ms]
common_voice_pt_42653392.mp3	5940
common_voice_pt_42503099.mp3	5256
common_voice_pt_42469185.mp3	3096
common_voice_pt_41978892.mp3	3384
common_voice_pt_42068146.mp3	4860
common_voice_pt_42693837.mp3	2556
common_voice_pt_42516712.mp3	5040
common_voice_pt_42137952.mp3	3312
common_voice_pt_42015158.mp3	2808
common_voice_pt_42557921.mp3	6048
common_voice_pt_42516784.mp3	3528
common_voice_pt_42286542.mp3	4068
common_voice_pt_42068105.mp3	4860
common_voice_pt_42516803.mp3	2880
common_voice_pt_42516769.mp3	2700
common_voice_pt_42653466.mp3	3708
common_voice_pt_42068104.mp3	4716
common_voice_pt_42024906.mp3	12780
common_voice_pt_42015159.mp3	3636
common_voice_pt_42061948.mp3	7452
common_voice_pt_42502944.mp3	7524
common_voice_pt_42503290.mp3	5220
common_voice_pt_42516800.mp3	4500
common_voice_pt_42516733.mp3	3348
common_voice_pt_42516827.mp3	4356
common_voice_pt_42516848.mp3	3276
common_voice_pt_42027926.mp3	4860
common_voice_pt_42516766.mp3	3600
common_voice_pt_42541036.mp3	14076
common_voice_pt_42516779.mp3	4608
common_voice_pt_42458232.mp3	3708
common_voice_pt_42653469.mp3	12528
common_voice_pt_42653338.mp3	5148
common_voice_pt_42516773.mp3	2520
common_voice_pt_42578463.mp3	2448
common_voice_pt_42503101.mp3	3456
common_voice_pt_41978929.mp3	6696
common_voice_pt_42616734.mp3	13716
common_voice_pt_42516842.mp3	4320
common_voice_pt_42653465.mp3	9756
common_voice_pt_42469189.mp3	1620
common_voice_pt_42458233.mp3	3276
common_voice_pt_41978905.mp3	5760
common_voice_pt_42024904.mp3	3888
common_voice_pt_42516695.mp3	9900
common_voice_pt_42068098.mp3	3168
common_voice_pt_42653487.mp3	7416
common_voice_pt_42653384.mp3	3456
common_voice_pt_42516852.mp3	2988
common_voice_pt_41978876.mp3	5724
common_voice_pt_42516694.mp3	2700
common_voice_pt_42516765.mp3	5580
common_voice_pt_42516873.mp3	4248
common_voice_pt_42516829.mp3	2880
common_voice_pt_42516815.mp3	5040
common_voice_pt_41978942.mp3	13176
common_voice_pt_42502947.mp3	9360
common_voice_pt_41964530.mp3	5616
common_voice_pt_42516818.mp3	4896
common_voice_pt_42516791.mp3	2700
common_voice_pt_42503349.mp3	3564
common_voice_pt_42677140.mp3	2880
common_voice_pt_42068144.mp3	7020
common_voice_pt_42458220.mp3	8460
common_voice_pt_42502945.mp3	7344
common_voice_pt_42516854.mp3	3348
common_voice_pt_42503379.mp3	2700
common_voice_pt_42653411.mp3	10548
common_voice_pt_42615433.mp3	5940
common_voice_pt_42516853.mp3	4068
common_voice_pt_42458234.mp3	3348
common_voice_pt_42068121.mp3	5436
common_voice_pt_41978912.mp3	2376
common_voice_pt_42541038.mp3	5580
common_voice_pt_42653476.mp3	8388
common_voice_pt_42653456.mp3	2880
common_voice_pt_42503426.mp3	8352
common_voice_pt_42516822.mp3	3888
common_voice_pt_42294977.mp3	5760
common_voice_pt_42516731.mp3	4536
common_voice_pt_42516839.mp3	3888
common_voice_pt_42690218.mp3	6732
common_voice_pt_42516788.mp3	2340
common_voice_pt_42516836.mp3	2808
common_voice_pt_42516778.mp3	3168
common_voice_pt_42015156.mp3	3996
common_voice_pt_42137956.mp3	7236
common_voice_pt_42458218.mp3	3996
common_voice_pt_42653454.mp3	4968
common_voice_pt_42653462.mp3	7920
common_voice_pt_42294927.mp3	7128
common_voice_pt_42516872.mp3	4536
common_voice_pt_42286549.mp3	5220
common_voice_pt_42653418.mp3	3708
common_voice_pt_41978889.mp3	4680
common_voice_pt_42516745.mp3	5436
common_voice_pt_41964522.mp3	4176
common_voice_pt_42653480.mp3	3780
common_voice_pt_42578480.mp3	2376
common_voice_pt_42561427.mp3	5436
common_voice_pt_42578460.mp3	6372
common_voice_pt_42653489.mp3	3312
common_voice_pt_42653376.mp3	7812
common_voice_pt_42653467.mp3	2160
common_voice_pt_42516826.mp3	2376
common_voice_pt_42503319.mp3	5364
common_voice_pt_42541035.mp3	5400
common_voice_pt_41978877.mp3	10512
common_voice_pt_42503081.mp3	3780
common_voice_pt_42294926.mp3	6840
common_voice_pt_42578483.mp3	4968
common_voice_pt_42068145.mp3	2448
common_voice_pt_42027981.mp3	6804
common_voice_pt_42028154.mp3	7668
common_voice_pt_42653439.mp3	2016
common_voice_pt_41978873.mp3	11664
common_voice_pt_42516874.mp3	5616
common_voice_pt_41978947.mp3	2052
common_voice_pt_42503424.mp3	5688
common_voice_pt_42024893.mp3	2160
common_voice_pt_41998699.mp3	3168
common_voice_pt_42653337.mp3	4176
common_voice_pt_42503028.mp3	3456
common_voice_pt_41978883.mp3	14436
common_voice_pt_42578459.mp3	4572
common_voice_pt_42294903.mp3	4716
common_voice_pt_42294898.mp3	5436
