epoch,train_recon_loss,train_vq_loss,train_total_loss,val_recon_loss,val_vq_loss,val_total_loss,learning_rate
1,0.134821,0.025330,0.160151,0.123845,0.017248,0.141093,0.001000
2,0.121252,0.016246,0.137498,0.119312,0.016321,0.135634,0.001000
3,0.117313,0.016758,0.134071,0.115915,0.017130,0.133045,0.001000
4,0.113974,0.018039,0.132014,0.112727,0.018834,0.131561,0.001000
5,0.111520,0.019238,0.130758,0.110780,0.020006,0.130786,0.001000
6,0.109666,0.020089,0.129755,0.109167,0.020522,0.129689,0.001000
7,0.108424,0.020659,0.129084,0.108511,0.021340,0.129851,0.001000
8,0.107576,0.021763,0.129339,0.107262,0.021944,0.129205,0.001000
9,0.106856,0.022657,0.129513,0.106496,0.023250,0.129745,0.001000
10,0.105981,0.023210,0.129191,0.106090,0.023493,0.129583,0.001000
11,0.107664,0.023602,0.131266,0.108643,0.023891,0.132533,0.001000
12,0.108703,0.023835,0.132538,0.108985,0.023664,0.132649,0.001000
13,0.108833,0.023952,0.132785,0.108834,0.023622,0.132457,0.001000
14,0.108799,0.023929,0.132728,0.109042,0.023587,0.132628,0.001000
15,0.108849,0.023969,0.132817,0.109237,0.023776,0.133013,0.001000
16,0.108887,0.024086,0.132973,0.108859,0.024718,0.133577,0.001000
17,0.108593,0.024658,0.133251,0.108572,0.025096,0.133668,0.001000
18,0.108456,0.024779,0.133235,0.108313,0.024482,0.132795,0.001000
19,0.108395,0.024896,0.133291,0.108528,0.025224,0.133753,0.001000
20,0.108336,0.025147,0.133482,0.108491,0.024894,0.133384,0.001000
21,0.108337,0.025178,0.133515,0.108522,0.025619,0.134141,0.001000
22,0.108413,0.025170,0.133583,0.108607,0.024942,0.133548,0.001000
23,0.108492,0.025212,0.133704,0.108792,0.025454,0.134246,0.001000
24,0.108485,0.025353,0.133839,0.108639,0.025479,0.134118,0.001000
25,0.108356,0.025658,0.134015,0.108586,0.025812,0.134398,0.001000
26,0.108431,0.025665,0.134096,0.108581,0.025889,0.134470,0.001000
27,0.108182,0.025856,0.134037,0.108348,0.026015,0.134363,0.001000
28,0.108508,0.026105,0.134614,0.108465,0.026562,0.135027,0.001000
29,0.108282,0.026616,0.134898,0.108273,0.027256,0.135529,0.001000
30,0.108281,0.026583,0.134864,0.108300,0.026700,0.135000,0.001000
31,0.108378,0.026563,0.134941,0.108501,0.026898,0.135399,0.001000
32,0.108594,0.026912,0.135507,0.108684,0.027314,0.135998,0.001000
33,0.108542,0.026990,0.135531,0.108547,0.026890,0.135437,0.001000
34,0.108549,0.026832,0.135381,0.108453,0.026558,0.135010,0.001000
35,0.108349,0.027041,0.135390,0.108799,0.026907,0.135706,0.001000
36,0.108530,0.027030,0.135560,0.108642,0.027649,0.136291,0.001000
37,0.108541,0.026976,0.135517,0.108892,0.026691,0.135583,0.001000
38,0.108728,0.026856,0.135583,0.109105,0.026472,0.135576,0.001000
39,0.109043,0.026781,0.135824,0.109359,0.026619,0.135978,0.001000
40,0.109418,0.026733,0.136151,0.109193,0.026537,0.135730,0.001000
41,0.108817,0.027112,0.135929,0.109029,0.027234,0.136262,0.001000
42,0.108403,0.027478,0.135881,0.108379,0.027707,0.136086,0.001000
43,0.107959,0.028156,0.136114,0.107903,0.028515,0.136418,0.001000
44,0.107724,0.028749,0.136473,0.107781,0.028780,0.136562,0.001000
45,0.107640,0.029152,0.136792,0.107740,0.029867,0.137607,0.001000
46,0.107532,0.029582,0.137113,0.107437,0.030068,0.137505,0.001000
47,0.107375,0.029694,0.137069,0.107439,0.029852,0.137291,0.001000
48,0.107207,0.029727,0.136933,0.107282,0.029868,0.137151,0.001000
49,0.107079,0.029749,0.136827,0.107210,0.029930,0.137139,0.001000
50,0.107162,0.029932,0.137095,0.107210,0.030180,0.137390,0.001000
51,0.107191,0.029954,0.137144,0.107284,0.029800,0.137084,0.001000
52,0.107148,0.030066,0.137214,0.107296,0.029798,0.137095,0.001000
53,0.107193,0.029971,0.137164,0.107202,0.030055,0.137257,0.001000
54,0.107194,0.029925,0.137119,0.107200,0.029725,0.136925,0.001000
55,0.107264,0.030038,0.137302,0.107320,0.030008,0.137328,0.001000
56,0.107302,0.030070,0.137372,0.107288,0.030344,0.137632,0.001000
57,0.107231,0.030135,0.137365,0.107381,0.030498,0.137878,0.001000
58,0.107319,0.030269,0.137587,0.107461,0.030547,0.138008,0.001000
59,0.107382,0.030326,0.137708,0.107485,0.030245,0.137730,0.001000
60,0.107292,0.030410,0.137702,0.107324,0.030281,0.137605,0.001000
61,0.107202,0.030528,0.137730,0.107306,0.030343,0.137648,0.001000
62,0.107083,0.030605,0.137687,0.107100,0.030805,0.137905,0.001000
