T1: AV 264 Decompression,dists<better,psnr,ssim,REL_dists>better,REL_psnr,REL_ssim
baseline,0.1157,32.1813,0.8937,--,--,--
super_pretrain,0.0968,31.5128,0.8914,0.0189,-0.6685,-0.0023
mega_pretrain,0.1,31.121,0.8829,0.0157,-1.0603,-0.0108
ultra_pretrain,0.1089,31.1133,0.8802,0.0068,-1.068,-0.0135
super,0.09,32.8664,0.9052,0.0257,0.6851,0.0115
mega,0.0886,32.9484,0.9065,0.0271,0.7671,0.0128
ultra,0.0856,33.0593,0.9079,0.0301,0.878,0.0142
T2: AV 264 Decompression + 2x Upscale,,,,,,
baseline,0.1526,32.1674,0.9067,--,--,--
super_pretrain,0.1033,31.9717,0.9052,0.0493,-0.1957,-0.0015
mega_pretrain,0.1866,27.5517,0.746,-0.034,-4.6157,-0.1607
ultra_pretrain,0.0928,33.0818,0.9158,0.0598,0.9144,0.0091
super,0.0936,33.2183,0.9155,0.059,1.0509,0.0088
mega,0.0926,33.2698,0.9178,0.06,1.1024,0.0111
ultra,0.0854,33.4854,0.9216,0.0672,1.318,0.0149
T3: Fidelity 2X Upscale,,,,,,
baseline,0.1215,34.4701,0.9381,--,--,--
super_pretrain,0.0722,34.2933,0.9345,0.0493,-0.1768,-0.0036
mega_pretrain,0.194,27.7991,0.7416,-0.0725,-6.671,-0.1965
ultra_pretrain,0.0385,36.4471,0.9524,0.083,1.977,0.0143
super,0.035,36.7776,0.9524,0.0865,2.3075,0.0143
mega,0.0521,37.079,0.9567,0.0694,2.6089,0.0186
ultra,0.027,37.8584,0.962,0.0945,3.3883,0.0239
