T1: AV 264 Decompression,dists<better,psnr,ssim,REL_dists>better,REL_psnr,REL_ssim
baseline,0.1195,31.8945,0.8707,--,--,--
super_pretrain,0.1114,31.2373,0.865,0.0081,-0.6572,-0.0057
mega_pretrain,0.0997,31.1119,0.8578,0.0198,-0.7826,-0.0129
ultra_pretrain,0.1129,31.2219,0.8596,0.0066,-0.6726,-0.0111
super,0.0958,32.4215,0.8802,0.0237,0.527,0.0095
mega,0.0936,32.5082,0.882,0.0259,0.6137,0.0113
ultra,0.0906,32.5737,0.8832,0.0289,0.6792,0.0125
T2: AV 264 Decompression + 2x Upscale,,,,,,
baseline,0.1511,32.803,0.8833,--,--,--
super_pretrain,0.121,32.1595,0.8742,0.0301,-0.6435,-0.0091
mega_pretrain,0.1882,28.4189,0.7283,-0.0371,-4.3841,-0.155
ultra_pretrain,0.1066,32.9527,0.8845,0.0445,0.1497,0.0012
super,0.094,33.3613,0.8928,0.0571,0.5583,0.0095
mega,0.0939,33.387,0.895,0.0572,0.584,0.0117
ultra,0.0881,33.5579,0.8979,0.063,0.7549,0.0146
T3: Fidelity 2X Upscale,,,,,,
baseline,0.1192,35.3326,0.9211,--,--,--
super_pretrain,0.0829,34.5274,0.91,0.0363,-0.8052,-0.0111
mega_pretrain,0.1917,28.7431,0.7348,-0.0725,-6.5895,-0.1863
ultra_pretrain,0.0556,36.0913,0.9274,0.0636,0.7587,0.0063
super,0.039,36.76,0.9363,0.0802,1.4274,0.0152
mega,0.0602,36.976,0.9407,0.059,1.6434,0.0196
ultra,0.0351,37.4754,0.9452,0.0841,2.1428,0.0241
