34_10,folder,dists<better,psnr,ssim,REL_dists>better,REL_psnr,REL_ssim,,,,,,,,,,,,
baseline,test_baseline_34_10,0.1195,31.8945,0.8707,--,--,--,,FOR BUILDING GRAPHS,,,,,,,,,,
super_pretrain,test_super_compact_34_10_x1_pretrain,0.1114,31.2373,0.865,0.0081,-0.6572,-0.0057,,TASK,DISTS Absolute,,DISTS,DISTS,,DISTS Improvement,,,,
mega_pretrain,test_mega_compact_34_10_x1_pretrain,0.0997,31.1119,0.8578,0.0198,-0.7826,-0.0129,,Model,ourVSblender,baselineAnimeZeroShot,pretrainVSanimezeroshot,ourVSanimezeroshot,,TASK 1,DISTS Improvement,DISTS Improvement,DISTS Improvement,DISTS Improvement
ultra_pretrain,test_ultra_compact_34_10_x1_pretrain,0.1129,31.2219,0.8596,0.0066,-0.6726,-0.0111,,super  x1,0.0958,0.1157,0.0968,0.09,,Model,pretrainVSblender,pretrainVSanimezeroshot,ourVSblender,ourVSanimezeroshot
super,test_super_compact_34_10_x1,0.0958,32.4215,0.8802,0.0237,0.527,0.0095,,super x2i,0.094,0.1526,0.1033,0.0936,,super  x1,0.0081,0.0189,0.0237,0.0257
mega,test_mega_compact_34_10_x1,0.0936,32.5082,0.882,0.0259,0.6137,0.0113,,super x2f,0.039,0.1215,0.0722,0.035,,super x2i,0.0301,0.0493,0.0571,0.059
ultra,test_ultra_compact_34_10_x1,0.0906,32.5737,0.8832,0.0289,0.6792,0.0125,,mega x1,0.0936,0.1157,0.1,0.0886,,super x2f,0.0363,0.0493,0.0802,0.0865
28i_x2,,,,,,,,,mega x2i,0.0939,0.1526,0.1866,0.0926,,mega x1,0.0198,0.0157,0.0259,0.0271
baseline,test_baseline_in_28i_x2,0.1511,32.803,0.8833,--,--,--,,mega x2f,0.0602,0.1215,0.194,0.0521,,mega x2i,-0.0371,-0.034,0.0572,0.06
super_pretrain,test_super_compact_28i_x2_pretrain,0.121,32.1595,0.8742,0.0301,-0.6435,-0.0091,,ultra  x1,0.0906,0.1157,0.1089,0.0856,,mega x2f,-0.0725,-0.0725,0.059,0.0694
mega_pretrain,test_mega_compact_28i_x2_pretrain,0.1882,28.4189,0.7283,-0.0371,-4.3841,-0.155,,ultra x2i,0.0881,0.1526,0.0928,0.0854,,ultra  x1,0.0066,0.0068,0.0289,0.0301
ultra_pretrain,test_ultra_compact_28i_x2_pretrain,0.1066,32.9527,0.8845,0.0445,0.1497,0.0012,,ultra x2f,0.0351,0.1215,0.0385,0.027,,ultra x2i,0.0445,0.0598,0.063,0.0672
super,test_super_compact_28i_x2,0.094,33.3613,0.8928,0.0571,0.5583,0.0095,,,,,,,,ultra x2f,0.0636,0.083,0.0841,0.0945
mega,test_mega_compact_28i_x2,0.0939,33.387,0.895,0.0572,0.584,0.0117,,TASK 2 28i,PSNR Improvement,PSNR Improvement,PSNR Improvement,PSNR Improvement,,,,,,
ultra,test_ultra_compact_28i_x2,0.0881,33.5579,0.8979,0.063,0.7549,0.0146,,Model,pretrainVSblender,pretrainVSanimezeroshot,ourVSblender,ourVSanimezeroshot,,,,,,
10_x2,,,,,,,,,super  x1,-0.6572,-0.6685,0.527,0.6851,,,,,,
baseline,test_baseline_10_x2,0.1192,35.3326,0.9211,--,--,--,,super x2i,-0.6435,-0.1957,0.5583,1.0509,,,,,,
super_pretrain,test_super_compact_10_x2_pretrain,0.0829,34.5274,0.91,0.0363,-0.8052,-0.0111,,super x2f,-0.8052,-0.1768,1.4274,2.3075,,,,,,
mega_pretrain,test_mega_compact_10_x2_pretrain,0.1917,28.7431,0.7348,-0.0725,-6.5895,-0.1863,,mega x1,-0.7826,-1.0603,0.6137,0.7671,,,,,,
ultra_pretrain,test_ultra_compact_10_x2_pretrain,0.0556,36.0913,0.9274,0.0636,0.7587,0.0063,,mega x2i,-4.3841,-4.6157,0.584,1.1024,,,,,,
super,test_super_compact_10_x2,0.039,36.76,0.9363,0.0802,1.4274,0.0152,,mega x2f,-6.5895,-6.671,1.6434,2.6089,,,,,,
mega,test_mega_compact_10_x2,0.0602,36.976,0.9407,0.059,1.6434,0.0196,,ultra  x1,-0.6726,-1.068,0.6792,0.878,,,,,,
