folder,psnr
mega1X-mega10_2X-mega10_2X,31.9138
mega1X-mega10_2X-super10_2X,31.8879
mega1X-mega10_2X-ultra10_2X,31.9570
mega1X-mega28i_2X-mega28i_2X,31.8653
mega1X-mega28i_2X-super28i_2X,31.8545
mega1X-mega28i_2X-ultra28i_2X,31.9410
mega1X-super10_2X-mega10_2X,31.8479
mega1X-super10_2X-super10_2X,31.7572
mega1X-super10_2X-ultra10_2X,31.8564
mega1X-super28i_2X-mega28i_2X,31.8900
mega1X-super28i_2X-super28i_2X,31.8290
mega1X-super28i_2X-ultra28i_2X,31.9456
mega1X-ultra10_2X-mega10_2X,32.0114
mega1X-ultra10_2X-super10_2X,31.9524
mega1X-ultra10_2X-ultra10_2X,31.9777
mega1X-ultra28i_2X-mega28i_2X,32.0001
mega1X-ultra28i_2X-super28i_2X,31.9756
mega1X-ultra28i_2X-ultra28i_2X,31.9915
super1X-mega10_2X-mega10_2X,31.8662
super1X-mega10_2X-super10_2X,31.8423
super1X-mega10_2X-ultra10_2X,31.9098
super1X-mega28i_2X-mega28i_2X,31.8052
super1X-mega28i_2X-super28i_2X,31.7948
super1X-mega28i_2X-ultra28i_2X,31.8804
super1X-super10_2X-mega10_2X,31.8002
super1X-super10_2X-super10_2X,31.7112
super1X-super10_2X-ultra10_2X,31.8118
super1X-super28i_2X-mega28i_2X,31.8318
super1X-super28i_2X-super28i_2X,31.7751
super1X-super28i_2X-ultra28i_2X,31.8812
super1X-ultra10_2X-mega10_2X,31.9760
super1X-ultra10_2X-super10_2X,31.9182
super1X-ultra10_2X-ultra10_2X,31.9439
super1X-ultra28i_2X-mega28i_2X,31.9559
super1X-ultra28i_2X-super28i_2X,31.9323
super1X-ultra28i_2X-ultra28i_2X,31.9448
ultra1X-mega10_2X-mega10_2X,31.9723
ultra1X-mega10_2X-super10_2X,31.9444
ultra1X-mega10_2X-ultra10_2X,32.0078
ultra1X-mega28i_2X-mega28i_2X,31.8775
ultra1X-mega28i_2X-super28i_2X,31.8734
ultra1X-mega28i_2X-ultra28i_2X,31.9536
ultra1X-super10_2X-mega10_2X,31.9016
ultra1X-super10_2X-super10_2X,31.8096
ultra1X-super10_2X-ultra10_2X,31.9062
ultra1X-super28i_2X-mega28i_2X,31.9190
ultra1X-super28i_2X-super28i_2X,31.8638
ultra1X-super28i_2X-ultra28i_2X,31.9709
ultra1X-ultra10_2X-mega10_2X,32.0453
ultra1X-ultra10_2X-super10_2X,31.9838
ultra1X-ultra10_2X-ultra10_2X,32.0038
ultra1X-ultra28i_2X-mega28i_2X,31.9841
ultra1X-ultra28i_2X-super28i_2X,31.9629
ultra1X-ultra28i_2X-ultra28i_2X,31.9686
validate_baseline_4X,31.1448
